,query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed
37,0038,david27@example.com,9058805245,UI Feedback,Dark mode missing in login.,Closed,2025-07-19,2025-07-26
38,0039,kristen99@example.org,9634484656,Technical Support,Download button is inactive.,Closed,2025-04-07,2025-04-09
39,0040,hyoung@example.com,2052334703,Payment Failure,Charged twice for one payment.,Opened,2025-07-20,
40,0041,brandonrich@example.org,9722727167,Feature Request,Need in-app video tutorials.,Closed,2025-06-24,2025-06-25
41,0042,kellyblack@example.net,1283541419,Feature Request,Include a mobile-first UI option.,Closed,2025-02-23,2025-02-27
42,0043,cyoung@example.com,6654327583,Bug Report,Unable to delete old entries.,Closed,2025-06-07,2025-06-08
43,0044,mcdonaldchelsea@example.net,3184013731,Data Export,Exported PDF looks blank.,Closed,2025-05-26,2025-06-12
44,0045,bryantsydney@example.com,5292505993,UI Feedback,Filter section takes too much space.,Closed,2025-04-06,2025-04-08
45,0046,turnerjerome@example.com,8401095516,Feature Request,Need in-app video tutorials.,Closed,2025-04-10,2025-04-11
46,0047,hobbsbrian@example.com,689770710,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-02-22,2025-02-27
47,0048,ogordon@example.net,7530165333,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-04-09,2025-04-14
48,0049,lori61@example.org,5625215460,Technical Support,White screen on startup.,Closed,2025-02-13,2025-02-21
49,0050,alexandriajohnson@example.org,8172065417,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-02-17,2025-03-02
50,0051,oburns@example.net,9180520966,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-04-12,2025-04-19
51,0052,nmartinez@example.org,2094516406,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-07-24,2025-08-08
52,0053,fieldsgeorge@example.org,7586052409,Technical Support,Settings not saving properly.,Closed,2025-02-11,2025-02-17
53,0054,frangel@example.com,941377753,Bug Report,Tab focus jumps incorrectly.,Closed,2025-03-17,2025-03-23
54,0055,alexis63@example.net,47574843,Data Export,Time range in export is incorrect.,Closed,2025-07-14,2025-07-17
55,0056,mckenziemichael@example.org,2634161688,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-15,2025-03-18
56,0057,jenkinsdavid@example.net,2150242565,Billing Problem,Duplicate transaction found.,Closed,2025-04-29,2025-05-10
57,0058,bmayo@example.net,926809499,Subscription Cancellation,App locked after cancellation.,Closed,2025-06-19,2025-06-20
58,0059,wangjames@example.net,7930553343,Bug Report,Color scheme inconsistent.,Closed,2025-02-08,2025-02-10
59,0060,mkelly@example.net,8686528317,Subscription Cancellation,Still charged after cancellation.,Closed,2025-04-02,2025-04-12
60,0061,morgandennis@example.org,6983259347,Billing Problem,Incorrect tax calculations.,Closed,2025-02-16,2025-02-20
61,0062,jamesjose@example.com,9439242759,Bug Report,Color scheme inconsistent.,Closed,2025-05-27,2025-06-01
62,0063,barnesbrian@example.com,6930315191,Technical Support,Can’t sync data across devices.,Closed,2025-04-23,2025-04-28
63,0064,barbaraturner@example.org,8680361202,Technical Support,Notifications are not working.,Closed,2025-04-05,2025-04-09
64,0065,gibsonsandra@example.com,7766813709,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-10,2025-05-18
65,0066,jamessmith@example.net,7754111527,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-02-25,2025-03-03
66,0067,robertscott@example.com,859123926,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-02-22,2025-03-01
67,0068,anitasimpson@example.com,1897579169,Technical Support,Download button is inactive.,Closed,2025-07-21,2025-07-29
68,0069,marvinsalazar@example.org,7900522187,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-02-13,2025-02-16
69,0070,bookerphilip@example.net,7305371337,UI Feedback,Dark mode missing in login.,Closed,2025-06-03,2025-06-07
70,0071,amber72@example.org,2980576692,Data Export,Need monthly data dump in CSV.,Closed,2025-06-08,2025-06-22
71,0072,sclark@example.net,8362255680,Login Issue,Captcha keeps looping during login.,Closed,2025-05-02,2025-05-05
72,0073,robert66@example.net,508444117,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-07-12,2025-07-14
73,0074,mirandahernandez@example.com,1073820068,Data Export,Can’t schedule data export.,Closed,2025-03-05,2025-03-06
74,0075,erinmason@example.net,3020699159,Feature Request,Can you include language translation?,Closed,2025-05-12,2025-05-18
75,0076,dakotamorris@example.net,504447849,UI Feedback,Filter section takes too much space.,Closed,2025-06-09,2025-06-11
76,0077,kevinharvey@example.com,3516084282,Technical Support,Can’t install latest update.,Closed,2025-05-07,2025-05-09
77,0078,jacksonbarry@example.net,5210201985,Login Issue,Account seems to be disabled.,Closed,2025-05-19,2025-05-29
78,0079,crystal87@example.net,5640491245,Billing Problem,Refund not credited after 7 days.,Closed,2025-02-01,2025-02-06
79,0080,stephenswilliam@example.org,6301693680,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-03,2025-02-05
80,0081,brandonpugh@example.org,1124454576,Billing Problem,Charged extra on my last invoice.,Closed,2025-02-25,2025-03-06
81,0082,myerstina@example.org,9628184277,Payment Failure,Payment shows success but app locked.,Closed,2025-04-18,2025-04-24
82,0083,reedrebecca@example.net,168975882,Account Suspension,Can I restore my data after suspension?,Closed,2025-07-25,2025-07-27
83,0084,moorevictoria@example.net,5627021079,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-07-21,2025-07-22
84,0085,angelamora@example.net,589881633,Data Export,Data export not matching preview.,Closed,2025-04-25,2025-04-27
85,0086,dwayne81@example.com,889469595,UI Feedback,Filter section takes too much space.,Closed,2025-07-21,2025-07-31
86,0087,nwall@example.net,6786351574,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-01-31,2025-02-09
87,0088,matthewcurry@example.com,4475409658,Data Export,Can’t schedule data export.,Closed,2025-05-07,2025-05-11
88,0089,martinchristopher@example.com,3150651926,Bug Report,Chart not updating after data refresh.,Closed,2025-03-19,2025-04-02
89,0090,hbaker@example.net,8272736746,Login Issue,Error 401 appearing on login.,Closed,2025-04-23,2025-04-28
90,0091,ujohnson@example.net,1080952307,Technical Support,Slow performance during peak hours.,Closed,2025-04-16,2025-04-19
91,0092,bethanysimmons@example.org,7636011241,Data Export,Zip file corrupted during export.,Closed,2025-02-21,2025-02-24
92,0093,fgates@example.org,8349428717,Technical Support,Can’t install latest update.,Closed,2025-05-31,2025-06-13
93,0094,jasminewashington@example.com,3443854885,Data Export,Export email not received.,Closed,2025-04-16,2025-04-25
94,0095,campbellalan@example.com,9854809652,Billing Problem,Incorrect tax calculations.,Closed,2025-01-29,2025-02-01
95,0096,michellejones@example.org,608468228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-06-06,2025-06-07
96,0097,vjohnson@example.org,8843342950,Feature Request,Need in-app video tutorials.,Closed,2025-02-04,2025-02-10
97,0098,robinsonjacqueline@example.net,7146510641,Technical Support,Notifications are not working.,Closed,2025-06-11,2025-06-14
98,0099,amanda58@example.com,5673327709,Data Export,Exported PDF looks blank.,Closed,2025-07-09,2025-07-21
99,0100,turnerricardo@example.org,4582284595,Data Export,Time range in export is incorrect.,Closed,2025-02-12,2025-02-25
100,0101,ymendoza@example.com,2226525748,Payment Failure,Bank transaction shows pending.,Closed,2025-04-24,2025-05-03
101,0102,nicholas05@example.org,9511429556,Technical Support,Getting JSON decode error.,Closed,2025-04-01,2025-04-02
102,0103,jenniferroberts@example.com,5589526122,Login Issue,Unable to login with correct credentials.,Closed,2025-04-19,2025-04-21
103,0104,dfuller@example.com,1090588018,Technical Support,White screen on startup.,Closed,2025-05-02,2025-05-07
104,0105,eellis@example.org,1267351706,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-04-10,2025-04-11
105,0106,oclarke@example.net,8044954993,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-02-23,2025-03-10
106,0107,bryanhudson@example.com,1829817058,Feature Request,Would like push notifications for updates.,Closed,2025-06-21,2025-06-22
107,0108,jacksonashley@example.org,3498140888,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-25,2025-03-26
108,0109,lauranorris@example.net,6696961385,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-02-06,2025-02-21
109,0110,hayskyle@example.com,8114549073,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-05-17,2025-05-26
110,0111,johnmcdowell@example.com,8548971451,Login Issue,Login working on browser but not app.,Closed,2025-05-09,2025-05-23
111,0112,jaredbriggs@example.com,9436772822,Bug Report,Chart not updating after data refresh.,Closed,2025-06-04,2025-06-13
112,0113,renee63@example.com,666160520,Bug Report,Reports section not opening.,Closed,2025-03-10,2025-03-14
113,0114,hayestraci@example.com,5336123083,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-07,2025-04-10
114,0115,wsalazar@example.com,9964147740,Login Issue,Session expires immediately after login.,Closed,2025-07-24,2025-07-26
115,0116,brooke41@example.com,7838481278,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-18,2025-02-19
116,0117,codycalhoun@example.org,5155668344,Feature Request,Multi-user role system would help.,Closed,2025-02-21,2025-02-23
117,0118,virginia04@example.com,4776889228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-07-25,2025-08-01
118,0119,juliegriffin@example.com,3103165838,Bug Report,Date selector not responsive.,Closed,2025-06-29,2025-07-04
119,0120,cynthiamathews@example.org,9248696404,Payment Failure,Payment gateway not redirecting.,Closed,2025-03-03,2025-03-05
120,0121,sbaxter@example.org,6494163603,Feature Request,Ability to bulk edit entries needed.,Closed,2025-05-24,2025-05-25
121,0122,warrensusan@example.com,5552831330,Payment Failure,Need confirmation after retry.,Closed,2025-05-02,2025-05-14
122,0123,mossdavid@example.org,6873257806,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-26,2025-07-04
123,0124,smithmegan@example.net,1280459229,Login Issue,Cannot log in on mobile app.,Closed,2025-01-29,2025-02-07
124,0125,carpenterelizabeth@example.net,8796313550,UI Feedback,Font inconsistent across pages.,Closed,2025-04-25,2025-04-26
125,0126,dfisher@example.net,4578997498,Login Issue,Login working on browser but not app.,Closed,2025-06-01,2025-06-03
126,0127,flemingbrandon@example.org,9992235599,Bug Report,Blank screen after form submission.,Closed,2025-05-02,2025-05-18
127,0128,smatthews@example.org,9878160821,Account Suspension,Can’t access services due to ban.,Closed,2025-06-24,2025-06-25
128,0129,edwin98@example.net,2149646307,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-03-27,2025-04-04
129,0130,amanda10@example.com,154235856,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-04-11,2025-04-13
130,0131,lwagner@example.net,4546939886,Data Export,Can’t schedule data export.,Closed,2025-05-01,2025-05-02
131,0132,bernardrobinson@example.org,9979048078,Bug Report,Sidebar collapses on scroll.,Closed,2025-05-27,2025-05-28
132,0133,heather85@example.net,7000287242,Bug Report,Date selector not responsive.,Closed,2025-05-17,2025-05-22
133,0134,smithnicole@example.com,6469014856,Data Export,Auto-export not working on Fridays.,Closed,2025-03-27,2025-04-03
134,0135,pagenicholas@example.net,2125490550,Technical Support,Download button is inactive.,Closed,2025-07-07,2025-07-10
135,0136,savagemelissa@example.org,7738648797,Data Export,Need export in regional time zone.,Closed,2025-02-17,2025-02-19
136,0137,srodriguez@example.com,9826356826,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-02-23,2025-02-27
137,0138,annkeller@example.com,5129723443,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-05-27,2025-06-01
138,0139,chelsey42@example.net,8214713059,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-02-02,2025-02-09
139,0140,jennifer89@example.org,1403322177,Technical Support,App crashes after update.,Closed,2025-01-30,2025-02-03
140,0141,andrewgarrison@example.com,8368522186,Billing Problem,Late fee charged wrongly.,Closed,2025-04-05,2025-04-09
141,0142,timothyjimenez@example.org,4994113556,UI Feedback,Sidebar hides important links.,Closed,2025-02-20,2025-03-05
142,0143,hponce@example.com,1192619365,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-06-28,2025-07-09
143,0144,ynash@example.com,630475489,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-08,2025-04-15
144,0145,murraymichael@example.net,7119256146,Login Issue,Cannot log in on mobile app.,Closed,2025-07-27,2025-07-28
145,0146,qjackson@example.com,3873891524,Account Suspension,Received policy violation but unclear why.,Closed,2025-03-09,2025-03-10
146,0147,luis48@example.org,3697659354,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-03-23,2025-03-26
147,0148,sharon35@example.org,1110058418,Payment Failure,Need confirmation after retry.,Closed,2025-04-21,2025-05-06
148,0149,angela94@example.net,5586828570,Data Export,Export email not received.,Closed,2025-06-15,2025-06-26
149,0150,mitchellspencer@example.net,7000051016,Technical Support,Freezing during screen load.,Closed,2025-03-26,2025-04-07
150,0151,ynoble@example.net,4109768749,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-06-18,2025-06-19
151,0152,jonathan21@example.org,3081551624,Account Suspension,Can I restore my data after suspension?,Closed,2025-05-29,2025-05-30
152,0153,susanmartinez@example.com,5108989167,Payment Failure,Payment failed due to card error.,Closed,2025-04-20,2025-05-04
153,0154,jesseallen@example.org,6973456006,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,2025-04-25,2025-04-27
154,0155,elizabeth41@example.org,1910174367,Login Issue,Redirect loop after logging in.,Closed,2025-03-07,2025-03-09
155,0156,megan12@example.com,5306644570,Payment Failure,Payment failed due to card error.,Closed,2025-06-22,2025-06-30
156,0157,evillegas@example.com,1992625220,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-21,2025-05-23
157,0158,mcollins@example.org,239222014,Login Issue,Seeing 'invalid session token' error.,Closed,2025-05-11,2025-05-13
158,0159,wgoodwin@example.net,5223214561,Login Issue,Redirect loop after logging in.,Closed,2025-01-29,2025-02-01
159,0160,ojackson@example.org,1552229706,Feature Request,Suggesting calendar integration.,Closed,2025-06-15,2025-06-17
160,0161,ashley76@example.net,2606294215,Feature Request,Can you include language translation?,Closed,2025-04-18,2025-04-19
161,0162,hward@example.com,6955537574,UI Feedback,Text is too small on mobile.,Closed,2025-04-19,2025-04-29
162,0163,erincurtis@example.net,518945887,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-07-06,2025-07-23
163,0164,tabitha87@example.com,8785429955,Payment Failure,Need GST invoice after payment.,Closed,2025-07-20,2025-07-22
164,0165,tjenkins@example.org,8958642175,UI Feedback,Error messages not clear enough.,Closed,2025-06-18,2025-06-22
165,0166,deborah91@example.net,3053453784,Bug Report,Filter not retaining after refresh.,Closed,2025-03-01,2025-03-06
166,0167,rickey61@example.com,1098614819,Login Issue,Unable to login with correct credentials.,Closed,2025-04-16,2025-04-24
167,0168,jbradley@example.org,5715274799,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-30,2025-06-01
168,0169,nancy39@example.net,9744030885,Account Suspension,Terms of use were unclear.,Opened,2025-03-15,
169,0170,igraves@example.net,6782558206,Billing Problem,Promo code was not applied.,Closed,2025-02-21,2025-03-08
170,0171,iburnett@example.net,443398912,Payment Failure,Payment success mail delayed.,Closed,2025-07-23,2025-07-29
171,0172,suzanneyates@example.org,1846149954,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-03-04,2025-03-06
172,0173,emiller@example.com,1727807012,Feature Request,Request feature to duplicate projects.,Closed,2025-02-14,2025-02-15
173,0174,omarquez@example.org,8788556410,Technical Support,Can’t sync data across devices.,Closed,2025-04-11,2025-04-13
174,0175,stephen40@example.net,5589305516,Login Issue,Account seems to be disabled.,Closed,2025-06-09,2025-06-17
175,0176,jessicawoods@example.org,4649890949,Billing Problem,Invoice PDF is missing this month.,Closed,2025-06-04,2025-06-05
176,0177,mrivas@example.org,9446982828,Feature Request,Save filter views for reuse.,Closed,2025-04-10,2025-04-15
177,0178,johndixon@example.org,618851676,Login Issue,Seeing 'invalid session token' error.,Closed,2025-03-25,2025-03-26
178,0179,norrisandrew@example.net,5240040734,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-05-19,2025-05-21
179,0180,charlesgarcia@example.org,5614138376,Data Export,Need export in regional time zone.,Closed,2025-04-06,2025-04-21
180,0181,vjenkins@example.net,6671891055,Feature Request,Provide more chart types in dashboard.,Closed,2025-02-14,2025-02-17
181,0182,dgay@example.com,8473734892,Feature Request,Add folder structure to organize data.,Closed,2025-05-28,2025-06-03
182,0183,jamesmccoy@example.org,6514461218,Account Suspension,Received policy violation but unclear why.,Closed,2025-02-13,2025-02-17
183,0184,david08@example.com,5977177824,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-10,2025-06-13
184,0185,gmiller@example.com,8998856822,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-04-26,2025-04-27
185,0186,nathan10@example.net,8755106653,Subscription Cancellation,App locked after cancellation.,Closed,2025-02-22,2025-02-24
186,0187,katherinestrickland@example.com,7449435875,Bug Report,Reports section not opening.,Closed,2025-02-02,2025-02-08
187,0188,fharding@example.org,4422713519,UI Feedback,Dropdowns too close together.,Closed,2025-05-01,2025-05-04
188,0189,irichards@example.net,1767304475,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-05-24,2025-06-05
189,0190,james29@example.org,4584160403,Data Export,Need export in regional time zone.,Closed,2025-05-10,2025-05-11
190,0191,michellesimmons@example.org,5755635790,Billing Problem,Charged extra on my last invoice.,Closed,2025-05-16,2025-05-26
191,0192,jenkinsaustin@example.net,8155177874,Billing Problem,Duplicate transaction found.,Closed,2025-07-25,2025-07-31
192,0193,brittney39@example.com,188405714,Account Suspension,Appeal submitted but no response yet.,Closed,2025-07-16,2025-07-19
193,0194,karen99@example.org,8336811161,UI Feedback,Error messages not clear enough.,Closed,2025-07-22,2025-07-29
194,0195,grayamanda@example.org,6198804391,Subscription Cancellation,Wrong account cancelled.,Closed,2025-05-28,2025-05-29
195,0196,martinkrista@example.com,5658944055,Payment Failure,Payment shows success but app locked.,Closed,2025-03-10,2025-03-11
196,0197,nancy37@example.org,1256015851,Login Issue,Session expires immediately after login.,Closed,2025-03-29,2025-03-31
197,0198,audreyguerra@example.com,111569305,Payment Failure,Payment success mail delayed.,Closed,2025-06-25,2025-07-12
198,0199,jasonboyd@example.net,3736483107,Technical Support,Graphs not rendering properly.,Closed,2025-03-02,2025-03-07
199,0200,lawrencelori@example.com,2595230180,Account Suspension,Suspension mail was too vague.,Closed,2025-02-28,2025-03-07
200,0201,cody52@example.net,2999477604,Account Suspension,Received policy violation but unclear why.,Closed,2025-02-11,2025-02-13
201,0202,karen26@example.com,1573709413,Billing Problem,Duplicate transaction found.,Closed,2025-02-07,2025-02-13
202,0203,jenniferbutler@example.org,6209796060,Account Suspension,Suspension mail was too vague.,Closed,2025-06-05,2025-06-07
203,0204,tevans@example.org,2663687296,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-02-19,2025-02-24
204,0205,mcdowelllori@example.com,3718137459,Technical Support,Freezing during screen load.,Closed,2025-07-24,2025-07-25
205,0206,janetrodriguez@example.net,2614890685,Technical Support,Settings not saving properly.,Closed,2025-07-11,2025-07-12
206,0207,ortegaanthony@example.net,1766433053,Feature Request,Ability to bulk edit entries needed.,Closed,2025-06-03,2025-06-04
207,0208,armstrongcarla@example.net,5891755681,Billing Problem,Need clarification on currency charges.,Closed,2025-05-08,2025-05-10
208,0209,jasmineaguilar@example.org,2443069802,Data Export,Export email not received.,Closed,2025-05-09,2025-05-12
209,0210,ocollins@example.org,6051289595,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-03-26,2025-04-08
210,0211,emedina@example.com,2923814086,Payment Failure,Need help with failed subscription payment.,Closed,2025-03-28,2025-04-15
211,0212,annaschroeder@example.org,7008431148,Feature Request,Can we have auto-save for drafts?,Closed,2025-05-27,2025-05-28
212,0213,walkerjeffrey@example.net,9445730101,Subscription Cancellation,Still charged after cancellation.,Closed,2025-03-14,2025-03-17
213,0214,mariah48@example.net,946234164,Login Issue,Captcha keeps looping during login.,Closed,2025-06-10,2025-06-15
214,0215,ggarrett@example.net,8007045702,UI Feedback,Table headers not sticky.,Closed,2025-06-05,2025-06-06
215,0216,fredrivera@example.org,1037451071,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-02-04,2025-02-07
216,0217,jrichards@example.com,9286367033,Technical Support,Settings not saving properly.,Closed,2025-03-25,2025-04-01
217,0218,qcarpenter@example.com,6870409736,Bug Report,Sidebar collapses on scroll.,Closed,2025-04-27,2025-04-28
218,0219,christinegomez@example.com,1456516442,Account Suspension,Need reason for my suspension.,Closed,2025-05-13,2025-05-17
219,0220,dbrown@example.org,9334409005,UI Feedback,Error messages not clear enough.,Closed,2025-05-12,2025-05-13
220,0221,patriciahernandez@example.org,3641228037,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-02-23,2025-02-27
221,0222,uhorton@example.net,6206059787,UI Feedback,Sidebar hides important links.,Closed,2025-03-03,2025-03-05
222,0223,wrodriguez@example.net,1494495384,Billing Problem,Refund not credited after 7 days.,Closed,2025-03-09,2025-03-10
223,0224,lauren08@example.net,5772464044,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-04-20,2025-04-25
224,0225,cbeard@example.org,7162509112,Bug Report,Back button doesn’t work.,Closed,2025-05-15,2025-05-18
225,0226,mjacobs@example.com,8103914683,Account Suspension,Unjustified account suspension request.,Closed,2025-07-15,2025-08-01
226,0227,schroederjessica@example.com,3111806534,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-29,2025-05-31
227,0228,rdaniel@example.com,6261117528,Bug Report,Form validation not working properly.,Closed,2025-01-29,2025-02-04
228,0229,swells@example.net,8353715804,Account Suspension,Need reason for my suspension.,Closed,2025-02-09,2025-02-14
229,0230,mbaker@example.net,8852490220,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-01,2025-05-07
230,0231,garciapriscilla@example.org,8373116543,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-05-27,2025-05-28
231,0232,gvillarreal@example.net,8373378180,Account Suspension,Account banned during payment process.,Closed,2025-05-17,2025-05-21
232,0233,flopez@example.net,5808628168,Payment Failure,Charged twice for one payment.,Closed,2025-04-01,2025-04-02
233,0234,logandiane@example.net,5963961112,Billing Problem,Invoice PDF is missing this month.,Closed,2025-02-04,2025-02-06
234,0235,kevinmyers@example.net,5416214781,UI Feedback,Sidebar hides important links.,Closed,2025-05-12,2025-05-13
235,0236,elaine66@example.com,6043454136,Account Suspension,Received policy violation but unclear why.,Closed,2025-07-17,2025-07-27
236,0237,michael21@example.com,9852052552,Account Suspension,Received policy violation but unclear why.,Closed,2025-04-01,2025-04-18
237,0238,tracieblanchard@example.org,1284698771,Data Export,Need export in regional time zone.,Closed,2025-05-15,2025-05-30
238,0239,ichaney@example.net,4695154090,Feature Request,Please add support for dark mode.,Closed,2025-01-29,2025-02-10
239,0240,kingmelissa@example.org,929261250,UI Feedback,Icons not intuitive.,Closed,2025-07-12,2025-07-22
240,0241,fernandezbenjamin@example.net,2252780324,UI Feedback,Font inconsistent across pages.,Closed,2025-07-23,2025-07-30
241,0242,hhowell@example.org,1605039831,Bug Report,Blank screen after form submission.,Closed,2025-05-20,2025-05-23
242,0243,ortizapril@example.org,2283752756,UI Feedback,Font inconsistent across pages.,Closed,2025-06-21,2025-06-24
243,0244,bakerjenna@example.com,5728701021,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-05-20,2025-06-03
